revision;file;leftContent;rightContent
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;\src\com\github\andlyticsproject\util\LoaderBase.java;0
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;\src\com\github\andlyticsproject\dialog\AddEditLinkDialog.java;0
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;\src\com\github\andlyticsproject\model\Comment.java;0
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;\src\com\github\andlyticsproject\util\Utils.java;0
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;\actionbarsherlock\src\com\actionbarsherlock\internal\widget\IcsAbsSpinner.java;0
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;\src\com\github\andlyticsproject\console\v2\DevConsoleRegistry.java;0
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;\actionbarsherlock\src\com\actionbarsherlock\internal\view\View_OnAttachStateChangeListener.java;0
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;\src\com\github\andlyticsproject\DetailedStatsActivity.java;0
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;\src\com\github\andlyticsproject\admob\AdmobAccountAuthenticator.java;0
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;\actionbarsherlock\src\com\actionbarsherlock\app\SherlockActivity.java;0
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;\actionbarsherlock\src\com\actionbarsherlock\view\MenuItem.java;0
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;\src\com\github\andlyticsproject\ChartSwitcher.java;0
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;\src\com\github\andlyticsproject\console\NetworkException.java;0
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;\src\com\github\andlyticsproject\RevenueChartListAdapter.java;0
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;\actionbarsherlock\src\com\actionbarsherlock\internal\nineoldandroids\animation\PropertyValuesHolder.java;0
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;\src\com\github\andlyticsproject\DownloadsFragment.java;0
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;\src\com\github\andlyticsproject\AccountSpecificPreferenceActivity.java;0
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;\actionbarsherlock\src\com\actionbarsherlock\internal\view\menu\ActionMenuView.java;0
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;\actionbarsherlock\src\com\actionbarsherlock\internal\nineoldandroids\animation\FloatEvaluator.java;0
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;\src\com\github\andlyticsproject\model\Revenue.java;0
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;\src\com\github\andlyticsproject\io\AndlyticsBackupAgent.java;0
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;\actionbarsherlock\src\com\actionbarsherlock\internal\widget\IcsAdapterView.java;0
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;\src\com\github\andlyticsproject\AppStatsDiff.java;0
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;\src\com\github\andlyticsproject\util\UiUtils.java;0
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;\actionbarsherlock\src\com\actionbarsherlock\widget\SuggestionsAdapter.java;0
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;\src\com\github\andlyticsproject\AppInfoActivity.java;0
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;\src\com\github\andlyticsproject\model\AppDetails.java;0
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;\actionbarsherlock\src\com\actionbarsherlock\internal\nineoldandroids\widget\NineLinearLayout.java;0
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;\src\com\github\andlyticsproject\sync\AutosyncHandler.java;0
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;\src\com\github\andlyticsproject\sync\AccountsChangedReceiver.java;0
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;\actionbarsherlock\src\com\actionbarsherlock\view\Window.java;0
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;\actionbarsherlock\src\com\actionbarsherlock\view\CollapsibleActionView.java;0
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;\actionbarsherlock\src\com\actionbarsherlock\view\MenuInflater.java;0
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;\actionbarsherlock\src\com\actionbarsherlock\internal\view\StandaloneActionMode.java;0
