revision;file;nodeIdentifier1;nodeIdentifier2
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisdot/revisions/rev_11d92e2_ba34be0/rev_11d92e2-ba34be0.revisions;\sisdot-core\src\main\java\br\mil\eb\cds\sisdot\servico\FamiliaMaterialServico.java;public List<FamiliaMaterial> pesquisar(String valor, SituacaoCadastral status) ;public List<FamiliaMaterial> pesquisar(String valor, SituacaoCadastral status) 
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisbol/revisions/rev_46cbe3b_ae86c9f/rev_46cbe3b-ae86c9f.revisions;\sisbol-core\src\main\java\br\mil\eb\cds\sisbol\boletim\modelo\PostoGraduacao.java;@SuppressWarnings("serial")@Data@Entity@Table(name ;@SuppressWarnings("serial")@Data@Entity@Table(name 
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisbol/revisions/rev_46cbe3b_ae86c9f/rev_46cbe3b-ae86c9f.revisions;\sisbol-core\src\main\java\br\mil\eb\cds\sisbol\boletim\modelo\PostoGraduacao.java;@JsonView(Views.Listagem.class)	@Id	@GeneratedValue(strategy ;@JsonView(Views.Listagem.class)	@Id	@GeneratedValue(strategy 
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisbol/revisions/rev_46cbe3b_ae86c9f/rev_46cbe3b-ae86c9f.revisions;\sisbol-core\src\main\java\br\mil\eb\cds\sisbol\boletim\modelo\PostoGraduacao.java;@JsonView(Views.Listagem.class)	@Column(name ;@JsonView(Views.Listagem.class)	@Column(name 
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisbol/revisions/rev_46cbe3b_ae86c9f/rev_46cbe3b-ae86c9f.revisions;\sisbol-core\src\main\java\br\mil\eb\cds\sisbol\boletim\modelo\PostoGraduacao.java;@Override	public Long getId() ;@Override	public Long getId() 
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisbol/revisions/rev_46cbe3b_ae86c9f/rev_46cbe3b-ae86c9f.revisions;\sisbol-core\src\test\java\br\mil\eb\cds\sisbol\boletim\modelo\PostoGraduacaoTest.java;private static final long ID_POSTO_GRADUACAO ;private static final long ID_POSTO_GRADUACAO 
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisbol/revisions/rev_46cbe3b_ae86c9f/rev_46cbe3b-ae86c9f.revisions;\sisbol-core\src\test\java\br\mil\eb\cds\sisbol\boletim\modelo\PostoGraduacaoTest.java;private static final String NOME ;private static final String NOME 
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisbol/revisions/rev_46cbe3b_ae86c9f/rev_46cbe3b-ae86c9f.revisions;\sisbol-core\src\test\java\br\mil\eb\cds\sisbol\boletim\modelo\PostoGraduacaoTest.java;public PostoGraduacao criarPostoGraduacao();public PostoGraduacao criarPostoGraduacao()
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisbol/revisions/rev_46cbe3b_ae86c9f/rev_46cbe3b-ae86c9f.revisions;\sisbol-core\src\test\java\br\mil\eb\cds\sisbol\boletim\modelo\PostoGraduacaoTest.java;@Test	public void testaCriaPostoGraduacao();@Test	public void testaCriaPostoGraduacao()
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisbol/revisions/rev_46cbe3b_ae86c9f/rev_46cbe3b-ae86c9f.revisions;\sisbol-core\src\main\java\br\mil\eb\cds\sisbol\boletim\servico\PostoGraduacaoServico.java;@Inject	private PostoGraduacaoRepositorioJPA repositorio;@Inject	private PostoGraduacaoRepositorioJPA repositorio
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisbol/revisions/rev_46cbe3b_ae86c9f/rev_46cbe3b-ae86c9f.revisions;\sisbol-core\src\main\java\br\mil\eb\cds\sisbol\boletim\servico\PostoGraduacaoServico.java;@Override	protected RepositorioJPAGenerico<PostoGraduacao> getRepositorioJPA() ;@Override	protected RepositorioJPAGenerico<PostoGraduacao> getRepositorioJPA() 
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisbol/revisions/rev_46cbe3b_ae86c9f/rev_46cbe3b-ae86c9f.revisions;\sisbol-core\src\main\java\br\mil\eb\cds\sisbol\boletim\servico\PostoGraduacaoServico.java;@Override	protected Class<PostoGraduacao> getClasseEntidade() ;@Override	protected Class<PostoGraduacao> getClasseEntidade() 
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisbol/revisions/rev_46cbe3b_ae86c9f/rev_46cbe3b-ae86c9f.revisions;\sisbol-web\src\main\java\br\mil\eb\cds\sisbol\boletim\resources\PostoGraduacaoResource.java;@Path("/postoGraduacao")@Api(value ;@Path("/postoGraduacao")@Api(value 
C:/Users/Guilherme Cavalcanti/Desktop/testeis/projects/sisbol/revisions/rev_46cbe3b_ae86c9f/rev_46cbe3b-ae86c9f.revisions;\sisbol-web\src\main\java\br\mil\eb\cds\sisbol\boletim\resources\PostoGraduacaoResource.java;@Inject	@Getter	private PostoGraduacaoServico PostoGraduacaoServico;@Inject	@Getter	private PostoGraduacaoServico PostoGraduacaoServico
